,open,close,high,low,trade value,turnover,return
41,37.2,38.3,38.31,37.2,21205.0,0.8053,0.018075491759702356
42,39.66,40.54,41.29,39.12,124000.0,4.3752,0.05848563968668419
43,40.48,41.44,41.54,40.17,62741.0,2.1945,0.022200296003946685
44,41.44,43.28,43.94,41.05,106000.0,3.5783,0.044401544401544424
45,43.15,43.28,43.7,42.54,46683.0,1.5502,0.0
46,43.28,43.36,43.77,43.02,55054.0,1.8152,0.001848428835489857
47,43.28,43.23,43.79,42.9,51626.0,1.7042,-0.002998154981549872
48,43.39,42.8,43.62,42.77,35526.0,1.1797,-0.009946796206338204
49,42.56,41.92,42.77,41.58,47092.0,1.6078,-0.020560747663551315
50,41.78,43.46,43.64,41.63,46222.0,1.5368,0.0367366412213741
51,43.21,42.23,43.64,42.03,51191.0,1.7259,-0.028301886792452935
52,42.77,43.06,43.23,41.1,59749.0,2.013,0.019654274212645095
53,43.06,42.5,44.08,42.4,39481.0,1.304,-0.013005109150023286
54,42.4,43.06,43.15,42.22,20289.0,0.6793,0.013176470588235345
55,43.02,43.44,43.64,42.87,25543.0,0.845,0.008824895494658591
56,43.13,43.88,44.01,43.13,29967.0,0.983,0.010128913443830712
57,43.83,44.99,45.25,43.83,67826.0,2.1751,0.025296262534184155
58,45.01,46.18,46.37,45.01,68785.0,2.1535,0.02645032229384303
59,46.37,46.16,46.37,45.75,26461.0,0.8248,-0.0004330879168471524
60,46.2,48.19,48.42,46.2,72038.0,2.1606,0.0439774696707107
61,48.23,50.19,50.24,48.01,63361.0,1.8394,0.04150238638721726
62,50.15,48.6,50.15,48.58,136000.0,3.9673,-0.03167961745367598
63,48.23,48.06,48.97,47.49,39974.0,1.1873,-0.011111111111111072
64,48.23,48.54,48.85,47.86,60506.0,1.7944,0.009987515605493158
65,48.17,47.3,48.34,46.62,59198.0,1.7967,-0.025545941491553426
66,47.11,47.06,47.86,46.87,22690.0,0.6887,-0.0050739957716701145
67,46.89,47.1,47.71,46.37,17042.0,0.5199,0.0008499787505311662
68,47.11,45.69,47.11,45.63,22128.0,0.6816,-0.02993630573248418
69,45.63,46.12,46.47,45.02,28306.0,0.8907,0.009411249726417159
70,46.36,45.42,46.49,44.88,14703.0,0.4617,-0.015177797051170727
71,45.25,45.38,45.63,44.88,30020.0,0.9539,-0.0008806693086745865
72,45.13,45.59,45.6,44.88,29418.0,0.9322,0.004627589246364083
73,45.3,46.15,46.33,45.13,24414.0,0.7633,0.012283395481465176
74,46.18,47.0,48.35,46.18,78913.0,2.3808,0.018418201516793076
75,46.99,46.56,46.99,46.0,21006.0,0.6469,-0.009361702127659521
76,47.71,45.45,48.11,44.01,62795.0,2.0093,-0.023840206185567037
77,44.99,46.41,46.49,44.65,47858.0,1.4982,0.021122112211221067
78,46.25,44.92,46.37,44.11,28884.0,0.9251,-0.03210514975220846
79,44.32,44.68,45.63,44.32,24442.0,0.7784,-0.00534283170080152
80,44.66,45.64,45.69,44.65,31636.0,1.0038,0.0214861235452104
81,45.25,46.85,46.87,45.25,55043.0,1.7015,0.02651183172655558
82,46.97,46.43,47.1,45.63,22433.0,0.6969,-0.008964781216648898
83,46.21,45.53,46.21,45.03,12487.0,0.3917,-0.019384018953262916
84,45.56,44.9,46.12,43.39,70074.0,2.2405,-0.013837030529321392
85,45.25,45.37,46.0,44.7,17710.0,0.5548,0.01046770601336311
86,45.13,45.23,45.45,44.83,9068.6,0.2884,-0.003085739475424343
87,45.23,45.13,45.5,44.4,4704.5,0.1492,-0.0022109219544549363
88,45.08,44.63,45.25,44.57,5641.3,0.1807,-0.011079104808331519
89,44.55,44.45,45.25,44.39,18590.0,0.5949,-0.004033161550526576
90,44.46,44.68,44.81,44.16,10012.0,0.3209,0.005174353205849247
91,45.38,45.25,45.85,44.63,13779.0,0.4345,0.012757385854968772
92,45.13,45.73,45.84,45.01,7168.5,0.2256,0.010607734806629798
93,45.73,46.37,46.43,45.71,13508.0,0.4205,0.013995189153728438
94,46.37,45.68,46.37,45.63,8832.8,0.2752,-0.014880310545611342
95,45.75,45.63,46.21,45.25,2869.9,0.0904,-0.0010945709281960925
96,44.9,44.98,45.73,44.75,7529.2,0.2393,-0.014245014245014342
97,44.67,45.08,45.23,44.57,8856.3,0.2836,0.002223210315695834
98,44.65,45.02,45.22,44.51,12115.0,0.38799999999999996,-0.001330967169476338
99,44.65,44.62,45.11,44.39,17037.0,0.5461,-0.008884940026654964
100,44.63,42.53,45.01,42.22,84608.0,2.822,-0.046839982070820185
101,42.23,42.79,43.52,42.23,31913.0,1.0676,0.006113331765812413
102,42.53,41.41,42.6,41.16,40393.0,1.3792,-0.03225052582379062
103,41.32,41.61,41.76,40.17,70392.0,2.4833,0.004829751267809712
104,41.54,42.7,42.95,41.29,22482.0,0.7656,0.02619562605143
105,42.7,41.08,42.7,40.69,49603.0,1.7126,-0.03793911007025774
106,40.92,41.3,41.41,39.92,38053.0,1.349,0.00535540408958135
107,40.68,41.54,41.63,40.56,3441.9,0.1195,0.005811138014527817
108,41.66,42.16,42.16,41.54,4238.4,0.145,0.014925373134328401
109,42.09,41.19,42.09,40.92,1987.5,0.0689,-0.02300759013282727
110,41.19,41.2,41.89,41.14,4133.4,0.1435,0.00024277737314903902
111,41.45,41.91,43.02,41.01,12619.0,0.4273,0.017233009708737645
112,41.54,42.3,42.65,41.54,10476.0,0.35600000000000004,0.009305654974946398
113,42.3,42.27,42.46,41.91,23479.0,0.7965,-0.0007092198581558629
114,42.27,41.97,42.39,40.92,13953.0,0.4742,-0.007097232079489091
115,40.68,43.47,43.58,40.67,7361.3,0.3215,0.03573981415296634
116,43.58,44.33,44.39,42.9,7731.8,0.2555,0.019783758914193594
117,43.9,46.07,46.15,43.9,14546.0,0.4626,0.03925107150913609
118,46.31,45.89,47.77,45.86,47068.0,1.4546,-0.003907097894508382
119,45.82,46.88,47.19,45.04,38003.0,1.1777,0.021573327522335983
120,47.07,46.49,47.16,46.36,6779.7,0.2097,-0.008319112627986347
121,46.23,46.34,46.96,46.23,4678.1,0.1454,-0.003226500322650039
122,46.34,46.6,46.93,45.69,12352.0,0.3848,0.005610703495899871
123,46.34,47.86,47.97,46.34,18772.0,0.5708,0.027038626609442007
124,47.77,48.07,48.1,47.16,13176.0,0.3982,0.0043877977434183535
125,48.07,49.77,49.86,48.07,85455.0,2.5061,0.03536509257333065
126,49.79,49.73,50.16,48.78,17948.0,0.5225,-0.0008036970062287319
127,49.74,49.68,50.07,48.67,25719.0,0.7565,-0.0010054293183188179
128,49.51,49.6,49.68,48.81,23909.0,0.6996,-0.0016103059581320522
129,49.6,50.16,50.25,49.07,23041.0,0.6698,0.011290322580645107
130,50.08,50.03,51.81,49.76,87062.0,2.4839,-0.0025917065390749228
131,49.6,51.16,51.22,49.43,32608.0,0.9382,0.022586448131121317
132,51.38,50.12,51.38,49.24,20363.0,0.5883,-0.020328381548084473
